	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YER062C	gene-YER062C	16736.2998191841	7.90127147061265	0.408451765471886	19.3444419599565	2.27048658094423e-83	1.32982399045904e-79
gene-YDR536W	gene-YDR536W	10092.2023869729	7.87603322554227	0.411236134259663	19.1520943064044	9.29715197666139e-82	2.72267095636529e-78
gene-YHR094C	gene-YHR094C	8498.83562752299	7.88360863724784	0.431673058138229	18.2629156224139	1.63331784101094e-74	3.18878086493369e-71
gene-YNL065W	gene-YNL065W	2110.55372157609	7.78713361229604	0.46682756376463	16.6809636292647	1.80287091114255e-62	2.63985373164047e-59
gene-YKL120W	gene-YKL120W	1728.01315158896	7.27108824585994	0.482417682344278	15.0721843580164	2.46815825662969e-51	2.89120058181601e-48
gene-YJL122W	gene-YJL122W	1292.22774237829	6.49662387030835	0.432686293560845	15.0146283045936	5.88910621375846e-51	5.74874918233055e-48
gene-YLR264W	gene-YLR264W	1389.14773530882	6.48538096020422	0.432245736521792	15.0039211777795	6.92070482744145e-51	5.79065259633209e-48
gene-YGR159C	gene-YGR159C	8024.97093258223	6.76862466342642	0.451887349679608	14.9785663799295	1.0138034611359e-50	7.42230858984122e-48
gene-YNL112W	gene-YNL112W	5331.38153040545	7.36500786870589	0.493794771482288	14.9151191832133	2.62807600125067e-50	1.71029345992502e-47
gene-YOR271C	gene-YOR271C	1052.80836788392	6.84565619280528	0.472880525328459	14.4765026812012	1.70557138849751e-47	9.9895316224299e-45
gene-YJL108C	gene-YJL108C	955.542211449698	5.9976885913506	0.427846680463023	14.018312786393	1.20444149401367e-44	6.41310348221641e-42
gene-YJL107C	gene-YJL107C	845.878553570073	6.17353897811862	0.443106770116938	13.9323959696878	4.02618905913099e-44	1.96511577661085e-41
gene-YOR360C	gene-YOR360C	1923.9392243914	5.6604431080248	0.40692835324037	13.9101713187363	5.49476786144905e-44	2.47560425880824e-41
gene-YOL124C	gene-YOL124C	594.360525536296	7.80563109356069	0.562880545086098	13.867295932864	9.9975194934127e-44	4.18253369092273e-41
gene-YOL136C	gene-YOL136C	1162.4667812795	5.71083839453508	0.416405592061036	13.7146054313747	8.30167672031015e-43	3.24152803672377e-40
gene-YER127W	gene-YER127W	731.180138534669	5.98213351407858	0.44128720775205	13.5560999933626	7.2910886889494e-42	2.66899415319854e-39
gene-YLR180W	gene-YLR180W	1932.35565655286	6.78203685212893	0.504265171407499	13.4493461707835	3.10606540210386e-41	1.07013088588955e-38
gene-YCR072C	gene-YCR072C	701.314160077187	5.89637874120176	0.439055128107558	13.4297001987352	4.05047973901818e-41	1.31798110174608e-38
